AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"Gawande, Atul",Con cura. Diario di un medico deciso a fare meglio,Einaudi,,2008,242
"Geda, Fabio",Nel mare ci sono i coccodrilli,B.C. Dalai Editore,,2011,155
"Gervaso, Roberto",La volpe e l'uva. L'uomo è nato per soffrire e ci riesce benissimo,Bompiani,I Grandi Tascabili Bompiani,1992,287
"Gesualdi, Francesco",Il mercante d'acqua,Feltrinelli,Super UE Feltrinelli,2007,164
"Ghi, Pierino sj",Diario. Sofferenza e consolazione,Edizioni San Paolo,,2015,366
"Gide, André",I sotterranei del Vaticano,Feltrinelli,I Classici Universale Economica Feltrinelli,2011,179
"Giono, Jean",L'uomo che piantava gli alberi,Salani Editore,,2002,51
"Giono, Jean",L'Ussaro sul tetto,Fògola Editore in Torino,La piazza universale,1976,390
"Giordanengo, Gino",Sui sentieri della memoria,Edizioni l'Arciere Cuneo,,1981,78
"Giordano, Paolo",La solitudine dei numeri primi,Arnoldo Mondadori,,2008,304
"Giordano, Paolo",La solitudine dei numeri primi,Arnoldo Mondadori,,2008,304
"Giovanni Paolo II con Messori, Vittorio",Varcare la soglia della Speranza,Arnoldo Mondadori Editore,,1994,251
"Giuttari, Michele",Scarabeo,Rizzoli,,2004,331
"Goethe, Johann Wolfgang",Le affinità elettive. Matrimonio: e poi?,Demetra,Acquarelli - Bestseller,1997,284
"Goethe, Johann Wolfgang",Faust. Volume primo (Testo a fronte),Arnoldo Mondadori Editore,Oscar Grandi classici,1999,425
"Goethe, Johann Wolfgang",Faust Volume secondo (Testo a fronte),Arnoldo Mondadori Editore,Oscar Grandi classici,1999,1057
"Gogol', Nikolaj Vasil'evič",Taras Bul'ba,Arnoldo Mondadori Editore,Prima edizione,1959,223
"Gogol', Nikolaj Vasil'evič",I racconti di Pietroburgo,Editrice La Stampa,I Classici La Stampa 26,2003,190
"Golding, William",Il signore delle mosche,Arnoldo Mondadori Editore,Edizione speciale per Epoca,1983,206
"Goldoni, Carlo",Il campiello - Gl'innamorati,Arnoldo Mondadori Editore,Oscar classici,1986,186
"Goldoni, Carlo",La famiglia dell'antiquario - Le smanie per la villeggiatura,Edizioni Paoline,,1988,217
"Gombrowicz, Witold",Pornografia,Bompiani,Fratelli Fabbri Editori,1975,225
"González Frei, Irene",Il tuo nome scritto nell'acqua,Ugo Guanda Editore,Club degli Editori,1997,211
"Gramellini, Massimo",Fai bei sogni,Longanesi & C.,La gaja scienza,2013,229
"Gramellini, Massimo - Gamberale, Chiara",Avrò cura di te,Longanesi & C.,Edizione speciale TEA,2020,186
"Grammont, E. - Hamon, A.",Analyse grammaticale et logique (Testo in francese),Librairie Hachette,Classiques Hachette,1951,159
"Graves, Robert",I miti greci. Déi ed eroi in Omero. Volume II,Longanesi & C.,Il Giornale - Biblioteca storica,,688
"Grimm, Jacob e Wilhelm",Tutte le fiabe. Prima edizione integrale 1812-1815,Donzelli editore,,2018,663
"Grimm, Jacob e Wilhelm",Tutte le fiabe  ,Newton Compton editori,Grandi Tascabili Economici 174,1993,545
"Grisham, John",L'uomo della pioggia,Arnoldo Mondadori Editore,Omnibus,1995,535
"Gruber, Lilli",L'altro Islam. Un viaggio nella terra degli sciiti,Rizzoli Editore,,2004,313
"Gruber, Lilli",I miei giorni a Baghdad,Rizzoli Editore,Rai Eri,2003,322
Gruppo Abele,Droga. In quale direzione?  Linee e proposte d'intervento,"editrice AGA ""il portichetto"" Cuneo", ,1977,253
"Guccini, Francesco","Un matrimonio, un funerale, per non parlare del gatto",Mondadori Libri,Scrittori italiani e stranieri,2015,147
"Guerrazzi, Vincenzo",La fabbrica dei pazzi,Newton Compton editori,Newton narratori,1978,153
"Gurioli, Enrico",Il piccolo libro dei venti,Edizioni Pendragon,,2015,126
"Haley, Alex",Radici. La saga di una famiglia americana,Rizzoli Editore,La Scala,1978,506
"Harris, Robert",Pomperi (Testo in francese),Éditions Plon,Édition du Club France Loisirs,2004,414
"Hart, Josephine",Il danno,Feltrinelli,Universale Economica Feltrinelli,1995,167
"Hawthorne, Nathaniel",La casa del tesoro,Sellerio editore Palermo,,1992,47
"Hawthorne, Nathaniel",Racconti  ,Garzanti,i Grandi Libri,1977,283
"Hawthorne, Nathaniel",La lettera scarlatta,Editrice La Stampa,I Classici La Stampa 24,2003,237
"Hemingway, Ernest",I quarantanove racconti,Oscar Mondadori,,1976,583
"Hemingway, Ernest",Isole nella corrente,Arnoldo Mondadori,Club degli Editori,1971,489
"Hemingway, Ernest",Per chi suona la campana,Arnoldo Mondadori,Oggi,1945,501
"Hemingway, Ernest",Festa mobile,Arnoldo Mondadori Editore,Gli Oscar,1975,264
"Hemingway, Ernest",I quarantanove racconti. Volume II,Arnoldo Mondadori Editore,I libri del pavone,1965,333
"Hemingway, Ernest",I quarantanove racconti. Volume I,Arnoldo Mondadori Editore,I libri del pavone,1965,354
"Hemingway, Ernest",Il vecchio e il mare,Arnoldo Mondadori Editore,Edizione speciale Mondadori,2020,124
"Hemingway, Ernest",Addio alle armi,Arnoldo Mondadori Editore,Gli Oscar,1974,377
"Hesse, Herman",Il giuoco delle perle di vetro,Arnoldo Mondadori,Economica di classsici,1981,616
"Hesse, Herman",Knulp - Klein e Wagner - L'ultima estate di Klingsor,Arnoldo Mondadori,,1979,218
"Hesse, Herman",Siddharta,Adelphi,Piccola Biblioteca,1987,169
"Hesse, Herman",Racconti,Newton Compton editori,Grandi Economici Tascabili Newton,1995,335
"Hesse, Herman",Il lupo della steppa,Arnoldo Mondadori Editore,Scrittori del Novecento,2001,262
"Hitchens, Christopher",Dio non è grande. Come la religione avvelena ogni cosa,Giulio Einaudi editore,Stile Libero Inside,2007,271
"Hlasko, Marek",L'ottavo giorno della settimana,Einaudi,,1959,348
"Hoffman, G. Federico",Il mare e il… nulla. Poesie,Gabrieli Editore,Poeti d'oggi,1983,40
"Hoffmann, Ernst Theodor Amadeus",Il vaso d'oro e altri racconti,Crescere Edizioni,,2017,301
"Hosseini, Khaled",Mille splendidi soli,Edizioni Piemme,Pickwick,2017,403
"Hosseini, Khaled",Il cacciatore di aquiloni,Edizioni Piemme,Pickwick,2017,352
"Hudson,W. Henry",Verdi dimore,Arnoldo Mondadori Editore,Gli Oscar,1976,239
"Hugo, Victor",Contro la pena di morte,Corriere della sera,I classici del pensiero libero,2011,241
"Hugo, Victor",I Miserabili. Volume primo,Famiglia Cristiana,,1991,298
"Hugo, Victor",I Miserabili. Volume secondo,Famiglia Cristiana,,1991,680
"Hugo, Victor",I Miserabili. Volume terzo,Famiglia Cristiana,,1991,1078
"Hugo, Victor",I Miserabili. Volume quarto,Famiglia Cristiana,,1991,1403
"Huxley, Aldous",Il tempo si deve fermare,Arnoldo Mondadori Editore,Oscar Mondadori,1976,300
"Ibsen, Henrik",Una casa di bambola - Peer Gynt,Fratelli Melita Editori,I capolavori della letteratura,1989,287
"Imposimato, Ferdinando",La Republica delle stragi impunite. I documenti inediti dei fatti di sangue che hanno sconvolto il nostro paese,Newton Compton editori,Prima Pagina,2013,367
"Jaeggy, Fleur",I beati anni del castigo,Adelphi Edizioni,Fabula,1989,107
"James, Henry",Ritratto di Signora,BUR - Biblioteca Universale Rizzoli,i grandi romanzi,2008,645
"James, Henry",L'americano,Newton Compton editori,Tascabili Economici Newton. I classici Superten,1993,250
"James, Henry",L'ereditiera,Baldini&Castoldi,,Prima edizione,316
"James, P. D.",I figli degli uomini,Arnoldo Mondadori Editore,Omnibus,1993,316
"Jonas, Hans",Il concetto di Dio dopo Auschwitz,Il nuovo melangolo - STAMPATO,STAMPATO,2004. STAMPATO,49
"Joyce, James",Gente di Dublino,I giganti di Gulliver,,1995,219
"Jung, Carl Gustav",Psicologia dei fenomeni occulti,Newton Compton editori,Grandi Tascabili Economici Newton,1991,141
"Kafka, Franz",Il processo. L'ordinaria amministrazione dell'assurdo,Acquarelli,Raccolta di classici,1996,284
"Kafka, Franz",La metamorfosi ed altri racconti,Oscar Mondadori,Classici Moderni,2007,239
"Kafka, Franz",Il processo,Adelphi Edizioni,gli Adelphi,2020,322
"Kafka, Franz","Tutti i racconti. Favole visionarie e fantastiche, simbolica rappresentazione della vita contemporanea",Newton Compton editori,Grandi Tascabili Economici,1988,358
"Kant, Immanuel",Per la pace perpetua,Corriere della sera,I classici del pensiero libero,2010,83
"Kawabata, Yasunari",Il paese delle nevi,Arnoldo Mondadori Editore,Gli Oscar,1971,155
"Kawabata, Yasunari",Il suono della montagna,Valentino Bompiani,Fratelli Fabbri Editori,1973,286
"Keller, Werner",La Bibbia aveva ragione,Garzanti Editore,il corso della storia,1983,426
"Keneally, Thomas",La lista di Schindler,Arnoldo Mondadori Editore,I Miti,1997,460
"Keneally, Thomas",La lista di Schindler,Edizioni Frassinelli,Frassinelli Tascabili,1997,389
"Kesey, Ken",Qualcuno volò sul nido del cuculo,Rizzoli,Club italoano dei lettori,1978,315
"Kierkegaard, Sören",Aut - Aut,Oscar Mondadori,Leggere i Classici,1993,211
"Kierkegaard, Sören",Il concetto dell'angoscia,Editoriale Opportunity Book,La Biblioteca Ideale Tascabile,1995,118
"Kierkegaard, Sören",La difficoltà di essere cristiani,Edizioni Paoline,Classici del pensiero moderno,1967,290
"King, Stephen",Il Miglio Verde,Sperling & Kupfer Editori,Sperling Paperback - Bestseller,2001,552
"Kipling, Rudyard",Kim,Arnoldo Mondadori Editore,La biblioteca dei ragazzi,1985,324
"Kipling, Rudyard",I libri della Jungla,Newton Compton editori,Biblioteca Economica Newton - Selezione Ragazzi,1994,248
"Kobler, John",Al Capone. La vita e il mondo del re dei gangster,Club Degli Editori,Fatti e figure,1973,391
"Konrad, Lorenz",L'anello di Re Salomone,Adelphi Edizioni,gli Adelphi,1991,274
"Kundera, Milan",L'immortalità,Adelphi,Superpocket,1999,366
"Kundera, Milan",L'insostenibile leggerezza dell'essere,Adelphi Edizioni,gli Adelphi,2018,336
"Kuzmin, Michail",Vanja. Un'educazione omosessuale,Edizioni e/o,Tascabili e/o,1993,105
La Sacra Bibbia,Vangelo e Atti degli Apostoli,Città Nuova Editrice,,2006,444
"Lajolo, Davide",Veder l'erba dalla parte delle radici,Rizzoli Editore,Bur - Biblioteca Universale Rizzoli,1979,228
"Lalia, Salvatore (Prof.)",Dizionario mitologico. Eroi e leggende del mondo classico dalla A alla Z,B&B,,1997,188
"Lapierre, Dominique",La città della gioia,Oscar Mondadori,Oscar bestsellers,2005,485
"Lapierre, Dominique; Collins, Larry",Stanotte la libertà. Il trionfo e la tragedia di Gandhi,Arnoldo Mondadori Editore,Oscar narrativa,1987,524
"Lawrence, D.H.",Il serpente piumato,Arnoldo Mondadori Editore,Gli Oscar,1969,563
"Lawrence, D.H.",Figli e amanti,Arnoldo Mondadori Editore,Gli Oscar,1971,585
Le Mille e una Notte,Le Mille e una Notte,Fabbri Editori,I grandi classici della fiaba,2001,814
Le Mille e una Notte,Le Mille e una Notte,Fabbri Editori,I grandi classici della fiaba,2001,716
"Ledda, Gavino",Padre padrone: l'educazione di un pastore,Feltrinelli,,1978,226
"Lee, Harper",Il buio oltre la siepe,Feltrinelli,Universale Economica Feltrinelli,2020,350
"Leopardi, Giacomo",Canti,Fabbri Editori,I grandi classici della poesia,1997,186
"Leopardi,Giacomo",Canti,Feltrinelli,Universale Economica Feltrinelli / Classici,2017,533
Letteratura italiana,L'età contemporanea. Letteratura di massa,Giulio Einaudi editore,Letteratura italiana,2007,448
"Levi, Primo",La chiave a stella,Editrice La Stampa,Collezione d'autore,2005,167
"Levi, Primo","Se non ora, quando?",Edizione speciale per Famiglia Cristiana,i Protagonisti,2003,265
"Levi, Primo",L'ultimo Natale di guerra,Mondolibri,,2000,143
"Levi, Primo",I sommersi e i salvati,Giulio Einaudi editore,Super ET,2018,179
"Levi, Primo",Se questo è un uomo,Giulio Einaudi editore,Super ET,2015,191
"Levi, Primo",Se questo è un uomo - La tregua,Giulio Einaudi editore,Einaudi Tascabili. Letteratura,1996,350
"Liverani, Pier Giorgio",Dateli a me. Madre Teresa e l'impegno per la vita,Città Nuova Editrice,,2003,149
"Llywelyn, Morgan","L'orgoglio dei leoni. La vita e le gesta di Donough, l'erede del Leone d'Irlanda",Casa Editrice Nord,Narrativa,2008,412
"Locke, John",Il secondo trattato sul governo,Corriere della sera,I classici del pensiero libero,2011,195
"London, Jack",Zanna Bianca,BUR - Biblioteca Universale Rizzoli,La BUR dei ragazzi,1985,274
"Lowen, Alexander",La Depressione e il Corpo,Casa Editrice Astrolabio,Psiche e Coscienza,1980,239
"Loy, Rosetta",Le strade di polvere,Einaudi,Einaudi Tascabili. Tascabili,2004,241
"Lubich, Chiara",L'attrattiva del tempo moderno,Città Nuova Editrice,Scritti spirituali / 1,1978,196
"Lubich, Chiara; Giordani, Igino","""Erano i tempi di guerra..."" agli albori dell'ideale dell'unità",Città Nuova Editrice,,2007,228
"M. Remarque, Erick",Niente di nuovo sul fronte occidentale,Arnoldo Mondadori Editore,Gli oscar settimanali,1965,237
"Mack Smith, Denis",Mussolini. La vita del duce raccontata dal grande storico inglese,Rizzoli Editore,Biografie,1981,403
"Magona, Sindiwe",Questo è il mio corpo,Edizioni Gorée,Diritti & Rovesci,2007,274
"Malatesta, Enrico",Aiutatemi tutti a portare la Croce. La biografia definitiva di Padre Pio da Pietrelcina,Mondadori Printing,Pratiche Editrice,2002,382
"Malvezi, Piero",Scuola in carcere. Un'analisi conoscitiva a S. Vittore,Feltrinelli,I nuovi testi,1974,145
"Malvezzi, Piero - Pirelli, Giovanni",Lettere di condannati a morte della Resistenza italiana,Giulio Einaudi editore,Gli Struzzi,1974,346
"Mancuso, Stefano",La pianta del mondo,Editori Laterza,i Robinson/ Letture,2020,184
"Manetti, Diego",Oltre. La vita eterna spiegata a chi cerca,Edizioni San Paolo,,2015,235
"Manfredi, Valerio Massimo",Chimaira,Oscar Mondadori,Oscar bestsellers,2006,246
"Manfredi, Valerio Massimo",La torre della solitudine,Oscar Mondadori,Bestsellers Oscar Mondadori,1998,306
"Manfredi, Valerio Massimo",L'isola dei morti,Oscar Mondadori,Oscar bestsellers,2010,76
"Manfredi, Valerio Massimo",L'ultima legione,Oscar Mondadori,Oscar bestsellers,2008,467
"Manfredi, Valerio Massimo",Teutoburgo,Arnoldo Mondadori Editore,Oscar Absolute,2018,354
"Manfredi, Valerio Massimo",L'ultima legione,Arnoldo Mondadori Editore,Oscar bestsellers,2019,409
"Manfredi, Valerio Massimo",Quinto comandamento,Arnoldo Mondadori Editore,Oscar Absolute,2019,329
"Mankell, Henning",Delitto di mezza estate,Marsilio Editori,Farfalle,2000,597
"Mann, Heinrich",L'Angelo azzurro,Garzanti per tutti,,1966,219
"Mann, Thomas",La morte a Venezia - Tristano - Tonio Kröger,Arnoldo Mondadori Editore,Oscar classici moderni,1998,201
"Mann, Thomas",Romanzi brevi,Newton Compton,Grandi Tascabili Economici,1990,259
"Mann, Thomas",I Buddenbrook. Decadenza di una famiglia,Newton Compton editori,Biblioteca Economica Newton,1994,464
"Mann, Thomas",La montagna incantata,Casa Editrice Corbaccio,I grandi scrittori,2020,697
"Márai, Sándor",L'eredità di Eszter,Adelphi Edizioni,gli Adelphi,1999,137
"Marie, Emmanuelle",La pazienza dell'istante,Edizioni Messaggero Padova,terra & cielo,2003,113
"Marino, Ignazio","Nelle tue mani. Medicina, fede, etica e diritti",Einaudi,,2009,223
"Martelli, Michele",Senza dogmi. L'antifilosofia di papa Ratzinger,Editori Riuniti,Primo piano,2007,140
"Martinetti, Laura - Perugini, Manuela",Nient'altro al mondo,Garzanti Editore,,2018,212
"Masini, Beatrice",La spada e il cuore. Donne della Bibbia,Edizioni EL,Sirene,2003,119
"Mason, Richard",Il vento non sa leggere,Sperling & Kupfer Editori,Serie oro - Sperling Paperback,2003,378
"Masters, Edgar Lee",Antologia di Spoon River. (Testo inglese a fronte),Newton Compton editori,Paperbacks poeti,1984,321
"Maurensig, Paolo",Canone inverso,Oscar Mondadori,Bestsellers Oscar Mondadori,2004,172
"Maurensig, Paolo",Venere lesa,Arnoldo Mondadori,,1998,177
"McGrath, Patrick",Follia,Edizione CDE spa - Milano,,1998,294
"McKinnon, K. C.",Le candele brillavano a Bay Street,Sperling & Kupfer Editori,,2000,246
Melville,Le cento pagine più belle,Case Editrici,Ex Libris,1982,105
"Merini, Alda",Il suono dell'ombra. Prose e poesie dal 1953 al 2009,Arnoldo Mondadori Editore,Oscar Baobab. Moderni,2018,1011
"Mernissi, Fatima",La terrazza proibita. Vita nell'harem,Giunti Gruppo Editoriale,Superastrea,2004,232
"Millar, Henry",Tropico del Cancro,Feltrinelli,Universale Economica Feltrinelli,1988,295
"Millett, Kate",Prostituzione. Quartetto per voci femminili,Giulio Einaudi editore,Nuovo Politecnico,1975,90
"Miscia, Eraldo",Rosaria e il Bambino,Rusconi Libri,Narrativa Rusconi,1976,222
"Mistral, Frédéric",Mirella e altri racconti,Fratelli Fabbri Editori,I premi Nobel per la letteratura,1964,415
"Mitchell, Margaret",Via colvento,Arnoldo Mondadori Editore,Oscar Absolute,2017,1104
"Mitchell, Margaret",L'isola in fondo al mare,R.C.S. Libri e Grandi Opere,,1996,60
Molière,George Dandin ovvero il Marito umiliato,Garzanti Editore,i grandi libri Garzanti,1996,126
"Moncalvo, Gigi","Il coraggio di sfidare la mafia. Dalla Chiesa, Russo, Chinnici, Asta, Palermo, Montana, Antiochia, Cassarà, Basile, Francese, Costa",Edizioni Paoline,Uomini e donne,1986,412
"Monge, Mario",Straordinarie avventure di dei e di eroi. Racconti mitologici di antiche civiltà mediterranee,Petrini editore,Narrativa per la scuola media,1988,234
"Montalbán, Manuel Vázquez",Gli uccelli di Bangkok,Feltrinelli,Universale Economica Feltrinelli,1997,297
"Montalbán, Manuel Vázquez",Il centravanti è stato assassinato verso sera,Feltrinelli,Universale Economica Feltrinelli,1995,199
"Montalbán, Manuel Vázquez",Il fratellino,Feltrinelli,Universale Economica Feltrinelli,2000,189
"Montalbán, Manuel Vázquez",La rosa di Alessandria,Feltrinelli,Universale Economica Feltrinelli,1995,234
"Montano, Maria",Luce del mare,Neos Edizioni,Poesia,2012,92
"Moody, Raymond A.",La luce oltre la vita,Arnoldo Mondadori Editore,Bestsellers saggi,1991,185
"Moore, Brian",La caccia,Fazi Editore,Le strade,1998,238
"Moore, Thomas",Il lato oscuro dell'Eros,Lyra libri,I sensi dell'amore,1988,177
"Moraldi, Luigi",Vangeli Apocrifi. Gli antichi manoscritti sulla vita di Gesù per secoli tenuti misteriosamente nascosti,Edizioni Piemme,,1996,320
"Moravia, Alberto",La noia,Bompiani,I Grandi Tascabili,1993,347
"Moravia, Alberto",La noia,Bompiani,I delfini - Nuova Serie,1974,347
"Moravia, Alberto",Il disprezzo,Arnoldo Mondadori Editore,Gli Oscar,1971,145
"Morelli, Raffaele",Ama e non pensare,Arnoldo Mondadori,Ingrandimenti,2007,118
"Morelli, Raffaele",Non siamo nati per soffrire,Arnoldo Mondadori,Ingrandimenti,2005,134
"Morgan, Marlo",…e venne chiamata due cuori,Sanzogno,,1994,219
"Moro, Tommaso",L'Utopia o la migliore forma di repubblica,Editori Laterza,Piccola biblioteca filosofica Laterza,1971,152
"Morris, William",Notizie da nessun luogo,Garzanti Editore,i grandi libri Garzanti,1984,240
"Mosca, Paolo",C'è una farfalla dentro di noi,Sperling & Kupfer Editori,Narrativa,1996,141
"Moyes, Jojo",Foto di famiglia,Sonzogno Editore,I romanzi Sonzogno,2002,358
"Muñoz, Braulio ",Alejandro e i pescatori di Tancay. Memorie,Edizioni Gorée,Diritti & Rovesci,2007,150
"Munro, Alice",Il sogno di mia madre,Giulio Einaudi editore,Einaudi Tascabili. Letteratura,2004,362
"Mutis, Άlvaro",L'ultimo scalo del Tramp Steamer,Adelphi Edizioni,gli Adelphi,2001,107
"Nabokov, Vladimir",Lolita,Adelphi Edizioni,gli Adelphi,2018,395
"Naím, Moisés","La fine del potere. Dai consigli di amministrazione ai campi di battaglia, dalle chiese agli stati, perché il potere non è più quello di un tempo",Arnoldo Mondadori Editore,Saggi,2013,390
"Némirovsky, Irène",Il ballo,Rizzoli Editore,BUR contemporanea,2016,86
"Nicoletti, Gianluca",Una notte ho sognato che parlavi. Così ho imparato a fare il padre di mio figlio autistico,Arnoldo Mondadori,Collezione Strade Blu,2013,177
"Nietzsche, Friedrich W.",Al di là del bene e del male,Rusconi Libri,Classici della filosofia,2006,266
"Nietzsche, Friedrich W.",Così parlò Zarathustra,Crescere Edizioni,Grandi Classici,2013,315
"Nietzsche, Friedrich W.","Umano, troppo umano. Volume primo",Adelphi Edizioni,Piccola Biblioteca Adelphi,1982,305
"Odifreddi, Piergiorgio",Il vangelo secondo la scienza. Le religioni alla prova del nove,Mondolibri,,2008,215
"Omar, Qais Akbar - Landrigan, Stephen",Leggere Shakespeare a Kabul,Newton Compton editori,3.0,2013,307
"Omero,",Odissea - Testo greco a fronte,Fabbri Centauria,La Grande Biblioteca dei Classici,2017,818
"Orlev, Uri",L'isola in via degli Uccelli,Salani Editore,,2001,155
"Orwell, George",1984,Oscar Mondadori,Classici Moderni,2011,322
"Orwell, George",La fattoria degli animali,Oscar Mondadori,,1974,152
"Orwell, George",La fattoria degli animali,Arnoldo Mondadori Editore,I libri da leggere,1984,153
Osho,Cristianesimo e Zen,Edizioni Riza,La Via Maestra,2002,343
Osho,I segreti della trasformazione,Bompiani,Tascabili Bompiani,2005,424
"Ovadia, Moni",Contro l'idolatria,Giulio Einaudi editore,Einaudi Stile Libero Big,2005,177
"P., Melissa",100 colpi di spazzola prima di andare a dormire,Fazi Editore,,2004,143
"Paasilinna, Arto",Il bosco delle volpi,Edizione CDE spa - Milano,,1996,267
"Pace, Federico",La libertà viaggia in treno,Editori Laterza,i Robinson/ Letture,2016,196
"Pagliarulo, Gianfranco",L'isola,Ibiskos Editrice Risolo,minimal Narrativa,2009,139
"Pajar, Fausto","Aquile, falchi, orsi e camosci. A Nordest e dintorni",Edizioni Biblioteca dell'Immagine,Chaos 15,2000,146
"Palahniuk, Chuck",Survivor,Arnoldo Mondadori Editore,Piccola Biblioteca Oscar,2004,289
"Paolazzi, Carlo",Francesco e Chiara d'Assisi,Edizioni San Paolo,Radici cristiane d'Europa,2004,89
"Paolini, Marco - Ponte Di Pino, Olivero",Quaderno del Vajont,Giulio Einaudi editore,Einaudi Tascabili. Stile libero,2002,86
Papa Francesco,Lumen Fidei. Enciclica sulla fede,Edizioni San Paolo,Allegato a Famiglia Cristiana,2013,110
Papa Francesco,Laudato si'. Enciclica sulla cura della casa comune,Edizioni San Paolo,Allegato a Famiglia Cristiana,2015,211
Papa Francesco,Gaudete et exsultate,Edizioni San Paolo,,2018,157
Papa Francesco,Christus Vivit. Esortazione apostolica post-sinodale. Ai giovani e a tutto il popolo di Dio,Libreria Editrice Vaticana. STAMPATO,STAMPATO,2019. STAMPATO,49
"Paris, Gianni",Mare nero,Edizioni dell'arco,,2008,142
"Parise, Goffredo",Il prete bello,Garzanti Editore,Garzanti per tutti - Romanzi e realtà,1965,251
"Pascal, Blaise",Pensieri,Edizioni Paoline,Classici del pensiero moderno,1966,211
"Pasternàk, Borís Leonídovič",Il dotto Živago,Feltrinelli,,1958,710
"Pavese, Cesare",Il diavolo sulle colline,Editrice La Stampa,Collezione d'autore,2005,158
"Pavese, Cesare",La luna e i falò,Einaudi,,1971,173
"Pavese, Cesare",Il compagno,Arnoldo Mondadori Editore,Oscar narrativa,1981,196
"Pavese, Cesare",La casa in collina,Giulio Einaudi editore,Super ET,2018,165
"Pavese, Cesare",La bella estate,Edizione Euroclub Italia,,1979,330
"Perodi, Emma",Le novelle della nonna. Fiabe fantastiche,Newton Compton editori,Grandi Tascabili Economici 175,1992,540
"Philippe,Charles-Louis",Bubu di Montparnasse,Garzanti,Garzanti per tutti,1966,232
"Piaget, Jean",Cos'è la psicologia?,Newton Compton editori,Grandi Tascabili Economici,1989,183
"Piazza, Bruno",Perché gli altri dimenticano. Un italiano ad Auschwitz,Alicubi srl,,2016,192
"Pierre, Abbé",Mi ero scordato del mio angelo custode,Edizioni Piemme,Religione,1998,100
"Piovene, Guido",Le stelle fredde,Arnoldo Mondadori Editore,Gli oscar ,1976,246
"Pirandello, Luigi",Il fu Mattia Pascal - Opere - I volume ,Edimarketing,Classici di ogni tempo e paese,2008,301
"Pirandello, Luigi",Il fu Mattia Pascal - Opere - II volume ,Edimarketing,Classici di ogni tempo e paese,2008,290
"Pirandello, Luigi",La giara,Oscar Mondadori,,1975,167
"Pirandello, Luigi",L'amica delle mogli - Non si sa come - Sogno (ma forse no),Arnoldo Mondadori,,1979,177
"Pirandello, Luigi",Sei personaggi in cerca di autore - Enrico IV,Oscar Mondadori,,1981,219
"Pirandello, Luigi","Uno, nessuno centomila",Giulio Einaudi editore,ET Classici,2017,224
"Pitrè, Giuseppe",La mafia e l'omertà,Biesse,,,188
"Plauto, Tito Macco",Aulularia - Miles gloriosus - Mostellaria (Con testo a fronte),Garzanti Editore,I Grandi Libri,2014,341
"Plauto, Tito Macco",Pseudolus - Trinummus (Testo a fronte),Arnoldo Mondadori Editore,Classici Greci e Latini,2005,241
"Poe, E.A. - Le Fanu, J.S. - Stevenson, R.L. - Conan Doyle, A.",Terrore e Mistero,Edizione Euroclub Italia,Biblioteca Classica,1983,351
"Poe, Edgar Allan","Tutti i racconti del mistero, dell'incubo e del terrore",Newton Compton editori,Grandi Tascabili Newton. Serie speciale rilegata,1995,437
"Poe, Edgar Allan",Racconti,Gruppo Editoriale l'Espresso,La biblioteca di Repubblica. OTTOCENTO,2003,289
"Pontiggia, Giuseppe",La grande sera,Arnoldo Mondadori Editore,Scrittori italiani e stranieri,1989,317
"Pratolini, Vasco",Il Quartiere,Arnoldo Mondadori Editore,Oscar Mondadori,1968,201
"Prévert, Jacques",Poesie,Newton Compton editori,Grandi Tascabili Economici Newton,1988,263
"Prévert, Jacques",Canto d'amore. Charmes de Londres,Newton Compton editori,Paperbacks poeti / 55,1977,139
Primalpe,Duemiladiciannove. Tre. Cultura e tradizioni. Antologia di narrativa e poesia ,Primalpe,,2019,199
"Puzo, Mario",I folli muoiono,Dall'Oglio editore,Club degli Editori,1979,603
"Quirico, Domenico",Esodo. Storia del nuovo millennio,Neri Pozza Editore,,2016,174
"Quoist, Michel",Mi ha cercato Gesù. Riflessioni per un giorno,Edizioni Piemme,Piemme,1994,143
"Radiguet, Raymond",Il diavolo in corpo,Newton Compton editori,Biblioteca Economica Newton. Classici,1997,121
"Radius, Emilio",Verdi vivo. La vita e le opere,Baldini&Castoldi,Storie della storia d'Italia,2001,421
"Rampin, Matteo - Armellini, Leonora","Mozart era un figo, Bach ancora din più",Salani Editore,,2017,205
"Ravasi, Gianfranco",Le parole del mattino. 366 riflessioni per un anno,Arnoldo Mondadori Editore,,2011,403
"Ravasi, Gianfranco",Preghiere. L'ateo e il credente davanti a Dio,Arnoldo Mondadori Editore,Saggi,2000,333
"Rawlings, Marjorie K. ",Il cucciolo,Bompiani,Narratori moderni per i giovani,1982,418
"rawlings, Marjorie K. ",Il cucciolo,Bompiani,Narrativa per la scuola media,1989,241
"Reim, Riccardo","I grandi romanzi Gotici. Il castello di Otranto, Il monaco, L'italiano o Il confessionale dei Penitenti Neri, Frankenstein, Melmoth l'uomo errante",Newton Compton editori,I Mammut,1993,1011
"Revelli, Nuto",Il prete giusto,Editrice La Stampa,Collezione d'autore,2005,94
"Rey Rosa, Rodrigo",Il tempo concesso,Arnoldo Mondadori Editore,Piccola Biblioteca Oscar,2002,142
"Reza, Yasmina",Al di sopra delle cose,Rosellina Archinto,gli aquiloni,2001,94
Rezvani,L'ottavo flagello,Rizzoli,La Scala,1991,168
